ISO2,Nome_UF,UF,pcode_adm1
BR,Rondônia,11,BR11
BR,Acre,12,BR12
BR,Amazonas,13,BR13
BR,Roraima,14,BR14
BR,Pará,15,BR15
BR,Amapá,16,BR16
BR,Tocantins,17,BR17
BR,Maranhão,21,BR21
BR,Piauí,22,BR22
BR,Ceará,23,BR23
BR,Rio Grande do Norte,24,BR24
BR,Paraíba,25,BR25
BR,Pernambuco,26,BR26
BR,Alagoas,27,BR27
BR,Sergipe,28,BR28
BR,Bahia,29,BR29
BR,Minas Gerais,31,BR31
BR,Espírito Santo,32,BR32
BR,Rio de Janeiro,33,BR33
BR,São Paulo,35,BR35
BR,Paraná,41,BR41
BR,Santa Catarina,42,BR42
BR,Rio Grande do Sul,43,BR43
BR,Mato Grosso do Sul,50,BR50
BR,Mato Grosso,51,BR51
BR,Goiás,52,BR52
BR,Distrito Federal,53,BR53
